# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Where a picture Bedrock keeps at one path belongs in Java. Java ITEMS only: a
# block's icon is drawn from its model rather than from a sprite, so replacing
# item/<name>.png for one would change a picture nothing reads.
#
# Resolved either through the key's language entry, or - for the thirty keys that
# hold a whole family, where every common tool and weapon lives - by checking the
# file name against Java's own item paths and taking only an exact hit.
textures/entity/shield	item/shield
textures/items/copper_nugget	item/copper_nugget
textures/items/copper_pickaxe	item/copper_pickaxe
textures/items/copper_shovel	item/copper_shovel
textures/items/copper_sword	item/copper_sword
textures/items/creeper_banner_pattern	item/creeper_banner_pattern
textures/items/danger_pottery_sherd	item/danger_pottery_sherd
textures/items/dark_oak_chest_boat	item/dark_oak_chest_boat
textures/items/diamond	item/diamond
textures/items/diamond_axe	item/diamond_axe
textures/items/diamond_boots	item/diamond_boots
textures/items/diamond_chestplate	item/diamond_chestplate
textures/items/diamond_helmet	item/diamond_helmet
textures/items/diamond_hoe	item/diamond_hoe
textures/items/diamond_horse_armor	item/diamond_horse_armor
textures/items/diamond_leggings	item/diamond_leggings
textures/items/diamond_pickaxe	item/diamond_pickaxe
textures/items/diamond_shovel	item/diamond_shovel
textures/items/diamond_sword	item/diamond_sword
textures/items/disc_fragment_5	item/disc_fragment_5
textures/items/dragons_breath	item/dragon_breath
textures/items/dried_kelp	item/dried_kelp
textures/items/dune_armor_trim_smithing_template	item/dune_armor_trim_smithing_template
textures/items/echo_shard	item/echo_shard
textures/items/egg	item/egg
textures/items/elytra	item/elytra
textures/items/emerald	item/emerald
textures/items/end_crystal	item/end_crystal
textures/items/ender_eye	item/ender_eye
textures/items/ender_pearl	item/ender_pearl
textures/items/experience_bottle	item/experience_bottle
textures/items/explorer_pottery_sherd	item/explorer_pottery_sherd
textures/items/eye_armor_trim_smithing_template	item/eye_armor_trim_smithing_template
textures/items/feather	item/feather
textures/items/field_masoned_banner_pattern	item/field_masoned_banner_pattern
textures/items/fireball	item/fire_charge
textures/items/fireworks	item/firework_rocket
textures/items/fish_clownfish_raw	item/tropical_fish
textures/items/fish_cooked	item/cooked_cod
textures/items/fish_pufferfish_raw	item/pufferfish
textures/items/fish_raw	item/cod
textures/items/fish_salmon_cooked	item/cooked_salmon
textures/items/fish_salmon_raw	item/salmon
textures/items/flint	item/flint
textures/items/flint_and_steel	item/flint_and_steel
textures/items/flow_armor_trim_smithing_template	item/flow_armor_trim_smithing_template
textures/items/flow_banner_pattern	item/flow_banner_pattern
textures/items/flow_pottery_sherd	item/flow_pottery_sherd
textures/items/flower_banner_pattern	item/flower_banner_pattern
textures/items/flower_pot	item/flower_pot
textures/items/friend_pottery_sherd	item/friend_pottery_sherd
textures/items/ghast_tear	item/ghast_tear
textures/items/globe_banner_pattern	item/globe_banner_pattern
textures/items/glow_berries	item/glow_berries
textures/items/glow_item_frame	item/glow_item_frame
textures/items/glowstone_dust	item/glowstone_dust
textures/items/goat_horn	item/goat_horn
textures/items/gold_ingot	item/gold_ingot
textures/items/gold_nugget	item/gold_nugget
textures/items/gunpowder	item/gunpowder
textures/items/guster_banner_pattern	item/guster_banner_pattern
textures/items/guster_pottery_sherd	item/guster_pottery_sherd
textures/items/heart_pottery_sherd	item/heart_pottery_sherd
textures/items/heartbreak_pottery_sherd	item/heartbreak_pottery_sherd
textures/items/heartofthesea_closed	item/heart_of_the_sea
textures/items/honey_bottle	item/honey_bottle
textures/items/honeycomb	item/honeycomb
textures/items/host_armor_trim_smithing_template	item/host_armor_trim_smithing_template
textures/items/howl_pottery_sherd	item/howl_pottery_sherd
textures/items/iron_axe	item/iron_axe
textures/items/iron_boots	item/iron_boots
textures/items/iron_chestplate	item/iron_chestplate
textures/items/iron_helmet	item/iron_helmet
textures/items/iron_hoe	item/iron_hoe
textures/items/iron_horse_armor	item/iron_horse_armor
textures/items/iron_ingot	item/iron_ingot
textures/items/iron_leggings	item/iron_leggings
textures/items/iron_nugget	item/iron_nugget
textures/items/iron_pickaxe	item/iron_pickaxe
textures/items/iron_shovel	item/iron_shovel
textures/items/iron_sword	item/iron_sword
textures/items/item_frame	item/item_frame
textures/items/jungle_chest_boat	item/jungle_chest_boat
textures/items/lead	item/lead
textures/items/leather	item/leather
textures/items/leather_boots	item/leather_boots
textures/items/leather_chestplate	item/leather_chestplate
textures/items/leather_helmet	item/leather_helmet
textures/items/leather_horse_armor	item/leather_horse_armor
textures/items/leather_leggings	item/leather_leggings
textures/items/mace	item/mace
textures/items/magma_cream	item/magma_cream
textures/items/mangrove_boat	item/mangrove_boat
textures/items/mangrove_chest_boat	item/mangrove_chest_boat
textures/items/melon	item/melon_slice
textures/items/miner_pottery_sherd	item/miner_pottery_sherd
textures/items/mojang_banner_pattern	item/mojang_banner_pattern
textures/items/mourner_pottery_sherd	item/mourner_pottery_sherd
textures/items/mushroom_stew	item/mushroom_stew
textures/items/music_disc_bounce	item/music_disc_bounce
textures/items/music_disc_creator	item/music_disc_creator
textures/items/music_disc_creator_music_box	item/music_disc_creator_music_box
textures/items/music_disc_lava_chicken	item/music_disc_lava_chicken
textures/items/music_disc_precipice	item/music_disc_precipice
textures/items/music_disc_relic	item/music_disc_relic
textures/items/music_disc_tears	item/music_disc_tears
textures/items/name_tag	item/name_tag
textures/items/nautilus	item/nautilus_shell
textures/items/nautilus_armor/copper_nautilus_armor	item/copper_nautilus_armor
textures/items/nautilus_armor/diamond_nautilus_armor	item/diamond_nautilus_armor
textures/items/nautilus_armor/iron_nautilus_armor	item/iron_nautilus_armor
textures/items/nautilus_armor/netherite_nautilus_armor	item/netherite_nautilus_armor
textures/items/nether_star	item/nether_star
textures/items/nether_wart	item/nether_wart
textures/items/netherbrick	item/nether_brick
textures/items/netherite_axe	item/netherite_axe
textures/items/netherite_boots	item/netherite_boots
textures/items/netherite_chestplate	item/netherite_chestplate
textures/items/netherite_helmet	item/netherite_helmet
textures/items/netherite_hoe	item/netherite_hoe
textures/items/netherite_horse_armor	item/netherite_horse_armor
textures/items/netherite_ingot	item/netherite_ingot
textures/items/netherite_leggings	item/netherite_leggings
textures/items/netherite_pickaxe	item/netherite_pickaxe
textures/items/netherite_scrap	item/netherite_scrap
textures/items/netherite_shovel	item/netherite_shovel
textures/items/netherite_sword	item/netherite_sword
textures/items/netherite_upgrade_smithing_template	item/netherite_upgrade_smithing_template
textures/items/oak_chest_boat	item/oak_chest_boat
textures/items/ominous_bottle	item/ominous_bottle
textures/items/ominous_trial_key	item/ominous_trial_key
textures/items/painting	item/painting
textures/items/pale_oak_boat	item/pale_oak_boat
textures/items/pale_oak_chest_boat	item/pale_oak_chest_boat
textures/items/paper	item/paper
textures/items/phantom_membrane	item/phantom_membrane
textures/items/piglin_banner_pattern	item/piglin_banner_pattern
textures/items/pitcher_pod	item/pitcher_pod
textures/items/plenty_pottery_sherd	item/plenty_pottery_sherd
textures/items/potato	item/potato
textures/items/prismarine_crystals	item/prismarine_crystals
textures/items/prismarine_shard	item/prismarine_shard
textures/items/prize_pottery_sherd	item/prize_pottery_sherd
textures/items/pumpkin_pie	item/pumpkin_pie
textures/items/quartz	item/quartz
textures/items/rabbit_foot	item/rabbit_foot
textures/items/rabbit_hide	item/rabbit_hide
textures/items/rabbit_raw	item/rabbit
textures/items/rabbit_stew	item/rabbit_stew
textures/items/raiser_armor_trim_smithing_template	item/raiser_armor_trim_smithing_template
textures/items/raw_copper	item/raw_copper
textures/items/raw_gold	item/raw_gold
textures/items/raw_iron	item/raw_iron
textures/items/recovery_compass_item	item/recovery_compass
textures/items/resin_brick	item/resin_brick
textures/items/rib_armor_trim_smithing_template	item/rib_armor_trim_smithing_template
textures/items/rotten_flesh	item/rotten_flesh
textures/items/saddle	item/saddle
textures/items/scrape_pottery_sherd	item/scrape_pottery_sherd
textures/items/sentry_armor_trim_smithing_template	item/sentry_armor_trim_smithing_template
textures/items/shaper_armor_trim_smithing_template	item/shaper_armor_trim_smithing_template
textures/items/sheaf_pottery_sherd	item/sheaf_pottery_sherd
textures/items/shears	item/shears
textures/items/shelter_pottery_sherd	item/shelter_pottery_sherd
textures/items/shulker_shell	item/shulker_shell
textures/items/sign	item/sign
textures/items/silence_armor_trim_smithing_template	item/silence_armor_trim_smithing_template
textures/items/skull_banner_pattern	item/skull_banner_pattern
textures/items/skull_pottery_sherd	item/skull_pottery_sherd
textures/items/snort_pottery_sherd	item/snort_pottery_sherd
textures/items/snout_armor_trim_smithing_template	item/snout_armor_trim_smithing_template
textures/items/snowball	item/snowball
textures/items/spear/copper_spear	item/copper_spear
textures/items/spear/diamond_spear	item/diamond_spear
textures/items/spear/iron_spear	item/iron_spear
textures/items/spear/netherite_spear	item/netherite_spear
textures/items/spear/stone_spear	item/stone_spear
textures/items/spider_eye	item/spider_eye
textures/items/spire_armor_trim_smithing_template	item/spire_armor_trim_smithing_template
textures/items/spruce_chest_boat	item/spruce_chest_boat
textures/items/spyglass	item/spyglass
textures/items/stick	item/stick
textures/items/stone_axe	item/stone_axe
textures/items/stone_hoe	item/stone_hoe
textures/items/stone_pickaxe	item/stone_pickaxe
textures/items/stone_shovel	item/stone_shovel
textures/items/stone_sword	item/stone_sword
textures/items/string	item/string
textures/items/sugar	item/sugar
textures/items/suspicious_stew	item/suspicious_stew
textures/items/sweet_berries	item/sweet_berries
textures/items/tide_armor_trim_smithing_template	item/tide_armor_trim_smithing_template
textures/items/tipped_arrow	item/tipped_arrow
textures/items/torchflower_seeds	item/torchflower_seeds
textures/items/totem	item/totem_of_undying
textures/items/trial_key	item/trial_key
textures/items/trident	item/trident
textures/items/turtle_helmet	item/turtle_helmet
textures/items/turtle_shell_piece	item/turtle_scute
textures/items/vex_armor_trim_smithing_template	item/vex_armor_trim_smithing_template
textures/items/ward_armor_trim_smithing_template	item/ward_armor_trim_smithing_template
textures/items/warped_fungus_on_a_stick	item/warped_fungus_on_a_stick
textures/items/wayfinder_armor_trim_smithing_template	item/wayfinder_armor_trim_smithing_template
textures/items/wheat	item/wheat
textures/items/wild_armor_trim_smithing_template	item/wild_armor_trim_smithing_template
textures/items/wind_charge	item/wind_charge
textures/items/wolf_armor	item/wolf_armor
